gwgroupid,countries_gwid,year,groupname,countryname,statusname,status_pwrrank,upgraded10,incidence_flag,incidence_terr_flag,incidence_gov_flag,geo_concentrated
54003000,540,1980,Lunda-Chokwe,Angola,DISCRIMINATED,1,0,0,0,0,1
54005000,540,1980,Ovimbundu-Ovambo,Angola,DISCRIMINATED,1,0,0,0,0,1
56002000,560,1980,Asians,South Africa,DISCRIMINATED,1,0,0,0,0,0
56003000,560,1980,Coloreds,South Africa,DISCRIMINATED,1,0,0,0,0,1
56005000,560,1980,Blacks,South Africa,DISCRIMINATED,1,0,0,0,0,1
60003000,600,1980,Sahrawis,Morocco,DISCRIMINATED,1,0,1,1,0,1
62002000,620,1980,Toubou,Libya,DISCRIMINATED,1,0,0,0,0,1
62005000,620,1980,Berbers,Libya,DISCRIMINATED,1,0,0,0,0,1
62006000,620,1980,Tuareg,Libya,DISCRIMINATED,1,0,0,0,0,1
41102000,411,1981,Ndowe,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
41103000,411,1981,Bubi,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
41104000,411,1981,Fernandinos,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
41105000,411,1981,Annobon Islanders,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
45001000,450,1981,Americo-Liberians,Liberia,DISCRIMINATED,1,0,0,0,0,1
45003020,450,1981,Gio,Liberia,DISCRIMINATED,1,0,0,0,0,1
45003080,450,1981,Mano,Liberia,DISCRIMINATED,1,0,0,0,0,1
50002000,500,1981,Baganda,Uganda,DISCRIMINATED,1,1,0,0,0,1
50004000,500,1981,Basoga,Uganda,DISCRIMINATED,1,0,0,0,0,1
50007000,500,1981,Karamojong,Uganda,DISCRIMINATED,1,0,0,0,0,1
50009110,500,1981,"Far North-West Nile (Kakwa-Nubian, Madi, Lugbara, Alur)",Uganda,DISCRIMINATED,1,1,1,0,1,1
50011000,500,1981,"South-Westeners (Ankole, Banyoro, Toro, Banyarwanda)",Uganda,DISCRIMINATED,1,0,0,0,0,1
50103000,501,1981,Kikuyu-Meru-Emb,Kenya,DISCRIMINATED,1,0,0,0,0,1
50106000,501,1981,Luo,Kenya,DISCRIMINATED,1,0,0,0,0,1
50108000,501,1981,Somali,Kenya,DISCRIMINATED,1,0,0,0,0,1
51003000,510,1981,Zanzibar Arabs,Tanzania (Tanganyika),DISCRIMINATED,1,0,0,0,0,1
51601000,516,1981,Hutu,Burundi,DISCRIMINATED,1,0,0,0,0,0
51702000,517,1981,Tutsi,Rwanda,DISCRIMINATED,1,0,0,0,0,0
53001000,530,1981,Afar,Ethiopia,DISCRIMINATED,1,0,0,0,0,1
53006000,530,1981,Oroma,Ethiopia,DISCRIMINATED,1,0,1,1,0,1
53008000,530,1981,Somali (Ogaden),Ethiopia,DISCRIMINATED,1,0,1,1,0,1
53009000,530,1981,Tigry,Ethiopia,DISCRIMINATED,1,0,1,0,1,1
53010000,530,1981,Christian Eritreans,Ethiopia,DISCRIMINATED,1,0,1,1,0,1
53011000,530,1981,Muslim Eritreans,Ethiopia,DISCRIMINATED,1,0,1,1,0,1
53013000,530,1981,Sidama,Ethiopia,DISCRIMINATED,1,0,0,0,0,0
54003000,540,1981,Lunda-Chokwe,Angola,DISCRIMINATED,1,0,0,0,0,1
54005000,540,1981,Ovimbundu-Ovambo,Angola,DISCRIMINATED,1,0,0,0,0,1
56002000,560,1981,Asians,South Africa,DISCRIMINATED,1,0,1,0,1,0
56003000,560,1981,Coloreds,South Africa,DISCRIMINATED,1,0,1,0,1,1
56005000,560,1981,Blacks,South Africa,DISCRIMINATED,1,0,1,0,1,1
60003000,600,1981,Sahrawis,Morocco,DISCRIMINATED,1,0,1,1,0,1
62002000,620,1981,Toubou,Libya,DISCRIMINATED,1,0,0,0,0,1
62005000,620,1981,Berbers,Libya,DISCRIMINATED,1,0,0,0,0,1
62006000,620,1981,Tuareg,Libya,DISCRIMINATED,1,0,0,0,0,1
41102000,411,1982,Ndowe,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
41103000,411,1982,Bubi,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
41104000,411,1982,Fernandinos,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
41105000,411,1982,Annobon Islanders,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
45001000,450,1982,Americo-Liberians,Liberia,DISCRIMINATED,1,0,0,0,0,1
45003020,450,1982,Gio,Liberia,DISCRIMINATED,1,0,0,0,0,1
45003080,450,1982,Mano,Liberia,DISCRIMINATED,1,0,0,0,0,1
50002000,500,1982,Baganda,Uganda,DISCRIMINATED,1,0,0,0,0,1
50004000,500,1982,Basoga,Uganda,DISCRIMINATED,1,0,0,0,0,1
50007000,500,1982,Karamojong,Uganda,DISCRIMINATED,1,0,0,0,0,1
50009110,500,1982,"Far North-West Nile (Kakwa-Nubian, Madi, Lugbara, Alur)",Uganda,DISCRIMINATED,1,0,1,0,1,1
50011000,500,1982,"South-Westeners (Ankole, Banyoro, Toro, Banyarwanda)",Uganda,DISCRIMINATED,1,0,0,0,0,1
50103000,501,1982,Kikuyu-Meru-Emb,Kenya,DISCRIMINATED,1,0,0,0,0,1
50106000,501,1982,Luo,Kenya,DISCRIMINATED,1,0,0,0,0,1
50108000,501,1982,Somali,Kenya,DISCRIMINATED,1,0,0,0,0,1
51003000,510,1982,Zanzibar Arabs,Tanzania (Tanganyika),DISCRIMINATED,1,0,0,0,0,1
51601000,516,1982,Hutu,Burundi,DISCRIMINATED,1,0,0,0,0,0
51702000,517,1982,Tutsi,Rwanda,DISCRIMINATED,1,0,0,0,0,0
53001000,530,1982,Afar,Ethiopia,DISCRIMINATED,1,0,0,0,0,1
53006000,530,1982,Oroma,Ethiopia,DISCRIMINATED,1,0,0,0,0,1
53008000,530,1982,Somali (Ogaden),Ethiopia,DISCRIMINATED,1,0,1,1,0,1
53009000,530,1982,Tigry,Ethiopia,DISCRIMINATED,1,0,1,0,1,1
53010000,530,1982,Christian Eritreans,Ethiopia,DISCRIMINATED,1,0,1,1,0,1
53011000,530,1982,Muslim Eritreans,Ethiopia,DISCRIMINATED,1,0,1,1,0,1
53013000,530,1982,Sidama,Ethiopia,DISCRIMINATED,1,0,0,0,0,0
54003000,540,1982,Lunda-Chokwe,Angola,DISCRIMINATED,1,0,0,0,0,1
54005000,540,1982,Ovimbundu-Ovambo,Angola,DISCRIMINATED,1,0,0,0,0,1
55201100,552,1982,Ndebele-Kalanga-(Tonga),Zimbabwe (Rhodesia),DISCRIMINATED,1,0,0,0,0,1
55201210,552,1982,Ndau (Shona sub-group),Zimbabwe (Rhodesia),DISCRIMINATED,1,0,0,0,0,1
56002000,560,1982,Asians,South Africa,DISCRIMINATED,1,0,1,0,1,0
56003000,560,1982,Coloreds,South Africa,DISCRIMINATED,1,0,1,0,1,1
56005000,560,1982,Blacks,South Africa,DISCRIMINATED,1,0,1,0,1,1
60003000,600,1982,Sahrawis,Morocco,DISCRIMINATED,1,0,1,1,0,1
62002000,620,1982,Toubou,Libya,DISCRIMINATED,1,0,0,0,0,1
62005000,620,1982,Berbers,Libya,DISCRIMINATED,1,0,0,0,0,1
62006000,620,1982,Tuareg,Libya,DISCRIMINATED,1,0,0,0,0,1
41102000,411,1983,Ndowe,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
41103000,411,1983,Bubi,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
41104000,411,1983,Fernandinos,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
41105000,411,1983,Annobon Islanders,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
45001000,450,1983,Americo-Liberians,Liberia,DISCRIMINATED,1,0,0,0,0,1
45003020,450,1983,Gio,Liberia,DISCRIMINATED,1,0,0,0,0,1
45003080,450,1983,Mano,Liberia,DISCRIMINATED,1,0,0,0,0,1
48301000,483,1983,Arabs,Chad,DISCRIMINATED,1,0,0,0,0,1
50002000,500,1983,Baganda,Uganda,DISCRIMINATED,1,0,0,0,0,1
50004000,500,1983,Basoga,Uganda,DISCRIMINATED,1,0,0,0,0,1
50007000,500,1983,Karamojong,Uganda,DISCRIMINATED,1,0,0,0,0,1
50009110,500,1983,"Far North-West Nile (Kakwa-Nubian, Madi, Lugbara, Alur)",Uganda,DISCRIMINATED,1,0,1,0,1,1
50011000,500,1983,"South-Westeners (Ankole, Banyoro, Toro, Banyarwanda)",Uganda,DISCRIMINATED,1,0,0,0,0,1
50103000,501,1983,Kikuyu-Meru-Emb,Kenya,DISCRIMINATED,1,0,0,0,0,1
50106000,501,1983,Luo,Kenya,DISCRIMINATED,1,0,0,0,0,1
50108000,501,1983,Somali,Kenya,DISCRIMINATED,1,0,0,0,0,1
51003000,510,1983,Zanzibar Arabs,Tanzania (Tanganyika),DISCRIMINATED,1,0,0,0,0,1
51601000,516,1983,Hutu,Burundi,DISCRIMINATED,1,0,0,0,0,0
51702000,517,1983,Tutsi,Rwanda,DISCRIMINATED,1,0,0,0,0,0
53001000,530,1983,Afar,Ethiopia,DISCRIMINATED,1,0,0,0,0,1
53006000,530,1983,Oroma,Ethiopia,DISCRIMINATED,1,0,1,1,0,1
53008000,530,1983,Somali (Ogaden),Ethiopia,DISCRIMINATED,1,0,1,1,0,1
53009000,530,1983,Tigry,Ethiopia,DISCRIMINATED,1,0,1,0,1,1
53010000,530,1983,Christian Eritreans,Ethiopia,DISCRIMINATED,1,0,1,1,0,1
53011000,530,1983,Muslim Eritreans,Ethiopia,DISCRIMINATED,1,0,1,1,0,1
53013000,530,1983,Sidama,Ethiopia,DISCRIMINATED,1,0,0,0,0,0
54003000,540,1983,Lunda-Chokwe,Angola,DISCRIMINATED,1,0,0,0,0,1
54005000,540,1983,Ovimbundu-Ovambo,Angola,DISCRIMINATED,1,0,0,0,0,1
55201100,552,1983,Ndebele-Kalanga-(Tonga),Zimbabwe (Rhodesia),DISCRIMINATED,1,0,0,0,0,1
55201210,552,1983,Ndau (Shona sub-group),Zimbabwe (Rhodesia),DISCRIMINATED,1,0,0,0,0,1
56002000,560,1983,Asians,South Africa,DISCRIMINATED,1,0,1,0,1,0
56003000,560,1983,Coloreds,South Africa,DISCRIMINATED,1,0,1,0,1,1
56005000,560,1983,Blacks,South Africa,DISCRIMINATED,1,0,1,0,1,1
60003000,600,1983,Sahrawis,Morocco,DISCRIMINATED,1,0,1,1,0,1
62002000,620,1983,Toubou,Libya,DISCRIMINATED,1,0,0,0,0,1
62005000,620,1983,Berbers,Libya,DISCRIMINATED,1,0,0,0,0,1
62006000,620,1983,Tuareg,Libya,DISCRIMINATED,1,0,0,0,0,1
41102000,411,1984,Ndowe,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
41103000,411,1984,Bubi,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
41104000,411,1984,Fernandinos,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
41105000,411,1984,Annobon Islanders,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
45001000,450,1984,Americo-Liberians,Liberia,DISCRIMINATED,1,0,0,0,0,1
45003020,450,1984,Gio,Liberia,DISCRIMINATED,1,0,0,0,0,1
45003080,450,1984,Mano,Liberia,DISCRIMINATED,1,0,0,0,0,1
48301000,483,1984,Arabs,Chad,DISCRIMINATED,1,0,0,0,0,1
50002000,500,1984,Baganda,Uganda,DISCRIMINATED,1,0,0,0,0,1
50004000,500,1984,Basoga,Uganda,DISCRIMINATED,1,0,0,0,0,1
50007000,500,1984,Karamojong,Uganda,DISCRIMINATED,1,0,0,0,0,1
50009110,500,1984,"Far North-West Nile (Kakwa-Nubian, Madi, Lugbara, Alur)",Uganda,DISCRIMINATED,1,0,0,0,0,1
50011000,500,1984,"South-Westeners (Ankole, Banyoro, Toro, Banyarwanda)",Uganda,DISCRIMINATED,1,0,0,0,0,1
50103000,501,1984,Kikuyu-Meru-Emb,Kenya,DISCRIMINATED,1,0,0,0,0,1
50106000,501,1984,Luo,Kenya,DISCRIMINATED,1,0,0,0,0,1
50108000,501,1984,Somali,Kenya,DISCRIMINATED,1,0,0,0,0,1
51003000,510,1984,Zanzibar Arabs,Tanzania (Tanganyika),DISCRIMINATED,1,0,0,0,0,1
51601000,516,1984,Hutu,Burundi,DISCRIMINATED,1,0,0,0,0,0
51702000,517,1984,Tutsi,Rwanda,DISCRIMINATED,1,0,0,0,0,0
53001000,530,1984,Afar,Ethiopia,DISCRIMINATED,1,0,0,0,0,1
53006000,530,1984,Oroma,Ethiopia,DISCRIMINATED,1,0,1,1,0,1
53008000,530,1984,Somali (Ogaden),Ethiopia,DISCRIMINATED,1,0,0,0,0,1
53009000,530,1984,Tigry,Ethiopia,DISCRIMINATED,1,0,1,0,1,1
53010000,530,1984,Christian Eritreans,Ethiopia,DISCRIMINATED,1,0,1,1,0,1
53011000,530,1984,Muslim Eritreans,Ethiopia,DISCRIMINATED,1,0,1,1,0,1
53013000,530,1984,Sidama,Ethiopia,DISCRIMINATED,1,0,0,0,0,0
54003000,540,1984,Lunda-Chokwe,Angola,DISCRIMINATED,1,0,0,0,0,1
54005000,540,1984,Ovimbundu-Ovambo,Angola,DISCRIMINATED,1,0,0,0,0,1
55201100,552,1984,Ndebele-Kalanga-(Tonga),Zimbabwe (Rhodesia),DISCRIMINATED,1,0,0,0,0,1
55201210,552,1984,Ndau (Shona sub-group),Zimbabwe (Rhodesia),DISCRIMINATED,1,0,0,0,0,1
56002000,560,1984,Asians,South Africa,DISCRIMINATED,1,0,0,0,0,0
56003000,560,1984,Coloreds,South Africa,DISCRIMINATED,1,0,0,0,0,1
56005000,560,1984,Blacks,South Africa,DISCRIMINATED,1,0,0,0,0,1
60003000,600,1984,Sahrawis,Morocco,DISCRIMINATED,1,0,1,1,0,1
62002000,620,1984,Toubou,Libya,DISCRIMINATED,1,0,0,0,0,1
62005000,620,1984,Berbers,Libya,DISCRIMINATED,1,0,0,0,0,1
62006000,620,1984,Tuareg,Libya,DISCRIMINATED,1,0,0,0,0,1
41102000,411,1985,Ndowe,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
41103000,411,1985,Bubi,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
41104000,411,1985,Fernandinos,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
41105000,411,1985,Annobon Islanders,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
45001000,450,1985,Americo-Liberians,Liberia,DISCRIMINATED,1,0,0,0,0,1
45003020,450,1985,Gio,Liberia,DISCRIMINATED,1,0,0,0,0,1
45003080,450,1985,Mano,Liberia,DISCRIMINATED,1,0,0,0,0,1
48301000,483,1985,Arabs,Chad,DISCRIMINATED,1,0,0,0,0,1
50002000,500,1985,Baganda,Uganda,DISCRIMINATED,1,0,0,0,0,1
50004000,500,1985,Basoga,Uganda,DISCRIMINATED,1,0,0,0,0,1
50007000,500,1985,Karamojong,Uganda,DISCRIMINATED,1,0,0,0,0,1
50009110,500,1985,"Far North-West Nile (Kakwa-Nubian, Madi, Lugbara, Alur)",Uganda,DISCRIMINATED,1,0,0,0,0,1
50011000,500,1985,"South-Westeners (Ankole, Banyoro, Toro, Banyarwanda)",Uganda,DISCRIMINATED,1,0,0,0,0,1
50103000,501,1985,Kikuyu-Meru-Emb,Kenya,DISCRIMINATED,1,0,0,0,0,1
50106000,501,1985,Luo,Kenya,DISCRIMINATED,1,0,0,0,0,1
50108000,501,1985,Somali,Kenya,DISCRIMINATED,1,0,0,0,0,1
51601000,516,1985,Hutu,Burundi,DISCRIMINATED,1,0,0,0,0,0
51702000,517,1985,Tutsi,Rwanda,DISCRIMINATED,1,0,0,0,0,0
53001000,530,1985,Afar,Ethiopia,DISCRIMINATED,1,0,0,0,0,1
53006000,530,1985,Oroma,Ethiopia,DISCRIMINATED,1,0,1,1,0,1
53008000,530,1985,Somali (Ogaden),Ethiopia,DISCRIMINATED,1,0,0,0,0,1
53009000,530,1985,Tigry,Ethiopia,DISCRIMINATED,1,0,1,0,1,1
53010000,530,1985,Christian Eritreans,Ethiopia,DISCRIMINATED,1,0,1,1,0,1
53011000,530,1985,Muslim Eritreans,Ethiopia,DISCRIMINATED,1,0,1,1,0,1
53013000,530,1985,Sidama,Ethiopia,DISCRIMINATED,1,0,0,0,0,0
54003000,540,1985,Lunda-Chokwe,Angola,DISCRIMINATED,1,0,0,0,0,1
54005000,540,1985,Ovimbundu-Ovambo,Angola,DISCRIMINATED,1,0,0,0,0,1
55201100,552,1985,Ndebele-Kalanga-(Tonga),Zimbabwe (Rhodesia),DISCRIMINATED,1,0,0,0,0,1
55201210,552,1985,Ndau (Shona sub-group),Zimbabwe (Rhodesia),DISCRIMINATED,1,0,0,0,0,1
56002000,560,1985,Asians,South Africa,DISCRIMINATED,1,0,1,0,1,0
56003000,560,1985,Coloreds,South Africa,DISCRIMINATED,1,0,1,0,1,1
56005000,560,1985,Blacks,South Africa,DISCRIMINATED,1,0,1,0,1,1
60003000,600,1985,Sahrawis,Morocco,DISCRIMINATED,1,0,1,1,0,1
62002000,620,1985,Toubou,Libya,DISCRIMINATED,1,0,0,0,0,1
62005000,620,1985,Berbers,Libya,DISCRIMINATED,1,0,0,0,0,1
62006000,620,1985,Tuareg,Libya,DISCRIMINATED,1,0,0,0,0,1
41102000,411,1986,Ndowe,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
41103000,411,1986,Bubi,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
41104000,411,1986,Fernandinos,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
41105000,411,1986,Annobon Islanders,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
45001000,450,1986,Americo-Liberians,Liberia,DISCRIMINATED,1,0,0,0,0,1
45003020,450,1986,Gio,Liberia,DISCRIMINATED,1,0,0,0,0,1
45003080,450,1986,Mano,Liberia,DISCRIMINATED,1,0,0,0,0,1
48301000,483,1986,Arabs,Chad,DISCRIMINATED,1,0,0,0,0,1
50002000,500,1986,Baganda,Uganda,DISCRIMINATED,1,0,0,0,0,1
50004000,500,1986,Basoga,Uganda,DISCRIMINATED,1,0,0,0,0,1
50007000,500,1986,Karamojong,Uganda,DISCRIMINATED,1,0,0,0,0,1
50009110,500,1986,"Far North-West Nile (Kakwa-Nubian, Madi, Lugbara, Alur)",Uganda,DISCRIMINATED,1,0,0,0,0,1
50011000,500,1986,"South-Westeners (Ankole, Banyoro, Toro, Banyarwanda)",Uganda,DISCRIMINATED,1,0,0,0,0,1
50103000,501,1986,Kikuyu-Meru-Emb,Kenya,DISCRIMINATED,1,0,0,0,0,1
50106000,501,1986,Luo,Kenya,DISCRIMINATED,1,0,0,0,0,1
50108000,501,1986,Somali,Kenya,DISCRIMINATED,1,0,0,0,0,1
51601000,516,1986,Hutu,Burundi,DISCRIMINATED,1,0,0,0,0,0
51702000,517,1986,Tutsi,Rwanda,DISCRIMINATED,1,0,0,0,0,0
53001000,530,1986,Afar,Ethiopia,DISCRIMINATED,1,0,0,0,0,1
53006000,530,1986,Oroma,Ethiopia,DISCRIMINATED,1,0,1,1,0,1
53008000,530,1986,Somali (Ogaden),Ethiopia,DISCRIMINATED,1,0,0,0,0,1
53009000,530,1986,Tigry,Ethiopia,DISCRIMINATED,1,0,1,0,1,1
53010000,530,1986,Christian Eritreans,Ethiopia,DISCRIMINATED,1,0,1,1,0,1
53011000,530,1986,Muslim Eritreans,Ethiopia,DISCRIMINATED,1,0,1,1,0,1
53013000,530,1986,Sidama,Ethiopia,DISCRIMINATED,1,0,0,0,0,0
54003000,540,1986,Lunda-Chokwe,Angola,DISCRIMINATED,1,0,0,0,0,1
54005000,540,1986,Ovimbundu-Ovambo,Angola,DISCRIMINATED,1,0,0,0,0,1
55201100,552,1986,Ndebele-Kalanga-(Tonga),Zimbabwe (Rhodesia),DISCRIMINATED,1,0,0,0,0,1
55201210,552,1986,Ndau (Shona sub-group),Zimbabwe (Rhodesia),DISCRIMINATED,1,0,0,0,0,1
56002000,560,1986,Asians,South Africa,DISCRIMINATED,1,0,1,0,1,0
56003000,560,1986,Coloreds,South Africa,DISCRIMINATED,1,0,1,0,1,1
56005000,560,1986,Blacks,South Africa,DISCRIMINATED,1,0,1,0,1,1
60003000,600,1986,Sahrawis,Morocco,DISCRIMINATED,1,0,1,1,0,1
62002000,620,1986,Toubou,Libya,DISCRIMINATED,1,0,0,0,0,1
62005000,620,1986,Berbers,Libya,DISCRIMINATED,1,0,0,0,0,1
62006000,620,1986,Tuareg,Libya,DISCRIMINATED,1,0,0,0,0,1
41102000,411,1987,Ndowe,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
41103000,411,1987,Bubi,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
41104000,411,1987,Fernandinos,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
41105000,411,1987,Annobon Islanders,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
45001000,450,1987,Americo-Liberians,Liberia,DISCRIMINATED,1,0,0,0,0,1
45003020,450,1987,Gio,Liberia,DISCRIMINATED,1,0,0,0,0,1
45003080,450,1987,Mano,Liberia,DISCRIMINATED,1,0,0,0,0,1
48301000,483,1987,Arabs,Chad,DISCRIMINATED,1,0,0,0,0,1
48302100,483,1987,Hadjerai,Chad,DISCRIMINATED,1,0,0,0,0,1
50009120,500,1987,Langi/Acholi,Uganda,DISCRIMINATED,1,0,1,0,1,1
50009210,500,1987,Teso,Uganda,DISCRIMINATED,1,0,0,0,0,1
50103000,501,1987,Kikuyu-Meru-Emb,Kenya,DISCRIMINATED,1,0,0,0,0,1
50106000,501,1987,Luo,Kenya,DISCRIMINATED,1,0,0,0,0,1
50108000,501,1987,Somali,Kenya,DISCRIMINATED,1,0,0,0,0,1
51601000,516,1987,Hutu,Burundi,DISCRIMINATED,1,0,0,0,0,0
51702000,517,1987,Tutsi,Rwanda,DISCRIMINATED,1,0,0,0,0,0
53001000,530,1987,Afar,Ethiopia,DISCRIMINATED,1,0,0,0,0,1
53006000,530,1987,Oroma,Ethiopia,DISCRIMINATED,1,0,1,1,0,1
53008000,530,1987,Somali (Ogaden),Ethiopia,DISCRIMINATED,1,0,0,0,0,1
53009000,530,1987,Tigry,Ethiopia,DISCRIMINATED,1,0,1,0,1,1
53010000,530,1987,Christian Eritreans,Ethiopia,DISCRIMINATED,1,0,1,1,0,1
53011000,530,1987,Muslim Eritreans,Ethiopia,DISCRIMINATED,1,0,1,1,0,1
53013000,530,1987,Sidama,Ethiopia,DISCRIMINATED,1,0,0,0,0,0
54003000,540,1987,Lunda-Chokwe,Angola,DISCRIMINATED,1,0,0,0,0,1
54005000,540,1987,Ovimbundu-Ovambo,Angola,DISCRIMINATED,1,0,0,0,0,1
55201100,552,1987,Ndebele-Kalanga-(Tonga),Zimbabwe (Rhodesia),DISCRIMINATED,1,0,0,0,0,1
55201210,552,1987,Ndau (Shona sub-group),Zimbabwe (Rhodesia),DISCRIMINATED,1,0,0,0,0,1
56002000,560,1987,Asians,South Africa,DISCRIMINATED,1,0,1,0,1,0
56003000,560,1987,Coloreds,South Africa,DISCRIMINATED,1,0,1,0,1,1
56005000,560,1987,Blacks,South Africa,DISCRIMINATED,1,0,1,0,1,1
60003000,600,1987,Sahrawis,Morocco,DISCRIMINATED,1,0,1,1,0,1
62002000,620,1987,Toubou,Libya,DISCRIMINATED,1,0,0,0,0,1
62005000,620,1987,Berbers,Libya,DISCRIMINATED,1,0,0,0,0,1
62006000,620,1987,Tuareg,Libya,DISCRIMINATED,1,0,0,0,0,1
41102000,411,1988,Ndowe,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
41103000,411,1988,Bubi,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
41104000,411,1988,Fernandinos,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
41105000,411,1988,Annobon Islanders,Equatorial Guinea,DISCRIMINATED,1,0,0,0,0,1
45001000,450,1988,Americo-Liberians,Liberia,DISCRIMINATED,1,0,0,0,0,1
45003020,450,1988,Gio,Liberia,DISCRIMINATED,1,0,0,0,0,1
45003080,450,1988,Mano,Liberia,DISCRIMINATED,1,0,0,0,0,1
48301000,483,1988,Arabs,Chad,DISCRIMINATED,1,0,0,0,0,1
48302100,483,1988,Hadjerai,Chad,DISCRIMINATED,1,0,0,0,0,1
50009120,500,1988,Langi/Acholi,Uganda,DISCRIMINATED,1,0,1,0,1,1
50009210,500,1988,Teso,Uganda,DISCRIMINATED,1,0,0,0,0,1
50103000,501,1988,Kikuyu-Meru-Emb,Kenya,DISCRIMINATED,1,0,0,0,0,1
50106000,501,1988,Luo,Kenya,DISCRIMINATED,1,0,0,0,0,1
50108000,501,1988,Somali,Kenya,DISCRIMINATED,1,0,0,0,0,1
51601000,516,1988,Hutu,Burundi,DISCRIMINATED,1,0,0,0,0,0
51702000,517,1988,Tutsi,Rwanda,DISCRIMINATED,1,0,0,0,0,0
53001000,530,1988,Afar,Ethiopia,DISCRIMINATED,1,0,0,0,0,1
53006000,530,1988,Oroma,Ethiopia,DISCRIMINATED,1,0,1,1,0,1
53008000,530,1988,Somali (Ogaden),Ethiopia,DISCRIMINATED,1,0,0,0,0,1
53009000,530,1988,Tigry,Ethiopia,DISCRIMINATED,1,0,1,0,1,1
53010000,530,1988,Christian Eritreans,Ethiopia,DISCRIMINATED,1,0,1,1,0,1
